dates,league,name,link
Apr 16 - Jun 21 2014,ESL Pro Series,ESL Pro Series CIS Season II,http://lol.esportspedia.com/wiki/ESL_Pro_Series_CIS/Season_II
May 15 - Jun 21 2014,EU Challenger Series,2014 EU Challenger Series #1,http://lol.esportspedia.com/wiki/2014_EU_Challenger_Series/Summer_Series
Jun 14 - Jun 16 2014,DreamHack,DreamHack Summer 2014,http://lol.esportspedia.com/wiki/DreamHack_Summer_2014
Apr 30 - Jun 11 2014,Black Monster Cup,2014 BMC Summer NA,http://lol.esportspedia.com/wiki/2014_Black_Monster_Cup_Summer_North_America
Mar 8 - Jun 9 2014,NA,ESL Euro Series Spring 2014,http://lol.esportspedia.com/wiki/ESL_Euro_Series/Spring_2014
Apr 26 - Jun 8 2014,Circuit Brazilian League of Legends,Riot Brazilian CL 2014,http://lol.esportspedia.com/wiki/Riot_Brazilian_Champion_League_2014
Mar 1 - Jun 8 2014,The Legends Circuit,2014 TLC Spring Series,http://lol.esportspedia.com/wiki/2014_The_Legends_Circuit/Spring/Grand_Finals
Apr 25 - Jun 8 2014,Turkish Champions League,2014 TCL Summer,http://lol.esportspedia.com/wiki/2014_Turkish_Champions_League/Summer
Jun 1 - Jun 8 2014,Tencent Games Arena,TGA Summer 2014,http://lol.esportspedia.com/wiki/Tencent_Games_Arena_Grand_Prix/Summer_2014
Feb 13 - Jun 8 2014,SK Telecom LTE-A LoL Masters 2014,SKT LTE-A LoL Masters 2014,http://lol.esportspedia.com/wiki/SK_Telecom_LTE-A_LoL_Masters_2014
May 30 - Jun 6 2014,LoL The Champions,Champions Summer Qual.,http://lol.esportspedia.com/wiki/Champions_Summer_2014/Qualifiers
Jun 4 2014,Garena Premier League,GPL Summer TW Warm UP,http://lol.esportspedia.com/wiki/2014_GPL_Summer_Taiwan_Warm_Up_Tournament
May 13 - Jun 1 2014,Copa Latin America,Mexico N. League 2014 S2,http://lol.esportspedia.com/wiki/Mexico_National_League_2014/Season_2
May 13 - Jun 1 2014,Copa Latin America,Chile N. League 2014 S2,http://lol.esportspedia.com/wiki/Chile_National_League_2014/Season_2
May 13 - Jun 1 2014,Copa Latin America,Argentina N. League 2014 S2,http://lol.esportspedia.com/wiki/Argentina_National_League_2014/Season_2
May 13 - Jun 1 2014,Copa Latin America,Colombia N. League 2014 S2,http://lol.esportspedia.com/wiki/Colombia_National_League_2014/Season_2
May 31 - Jun 1 2014,Circuit Brazilian League of Legends,Brazil Regional Finals Qual.,http://lol.esportspedia.com/wiki/2014_Season_Brazil_Regional_Finals/Qualifiers
Apr 13 - Jun 1 2014,League of Legends Japan League,2014 LJ League Spring,http://lol.esportspedia.com/wiki/2014_League_of_Legends_Japan_League/Spring_Season
Apr 13 - May 27 2014,Black Monster Cup,2014 BMC Summer EU,http://lol.esportspedia.com/wiki/2014_Black_Monster_Cup_Summer_Europe
May 26 2014,NA,EpicGear Cup 4,http://lol.esportspedia.com/wiki/EpicGear_Cup_4
May 24 - May 25 2014,Tencent LoL Pro League,2014 LPL Spring Playoffs,http://lol.esportspedia.com/wiki/2014_LPL_Spring/Playoffs
May 18 - May 25 2014,League of Legends Japan League,2014 LJL Challenger Spring,http://lol.esportspedia.com/wiki/2014_League_of_Legends_Japan_League/Challenger_Tournament/Spring_Season
Mar 12 - May 24 2014,LoL The Champions,HOT6iX Champions Spring 2014,http://lol.esportspedia.com/wiki/HOT6iX_Champions_Spring_2014
Apr 12 - Mar 24 2014,JCG Premier League,2014 JCG Premier League S2,http://lol.esportspedia.com/wiki/2014_JCG_Premier_League/Season_2
May 20 - May 22 2014,Vietnam Championship Series,VCS Summer 2014 Qualifier,http://lol.esportspedia.com/wiki/2014_Vietnam_Championship_Series_A_Summer/Qualifiers
May 17 - May 19 2014,SoloMid Series,SoloMid EU Invitational 6,http://lol.esportspedia.com/wiki/Solomid_EU_Tournament_Circuit/Invitational_6
May 1 - May 17 2014,NA,TECNOFIELDS NITRO,http://lol.esportspedia.com/wiki/TECNOFIELDS_NITRO
Apr 29 - May 17 2014,Cyber Games Arena,Logitech G 2014 Spring,http://lol.esportspedia.com/wiki/Logitech_G_Tournament_2014/Spring_Season
Mar 3 - May 17 2014,NiceGameTV LoL Battle,bigfile NLB Spring 2014,http://lol.esportspedia.com/wiki/Bigfile_NLB_Spring_2014
May 17 2014,League of Legends Nova League,2014 LNL Summer Promotion,http://lol.esportspedia.com/wiki/2014_LNL_Summer/Promotion
Apr 7 - May 11 2014,NA,LoL Pro League Season I,http://lol.esportspedia.com/wiki/LoL_Pro_League/Season_I
May 8 - May 11 2014,Riot Games Inc.,All-Star Paris 2014,http://lol.esportspedia.com/wiki/All-Star_Paris_2014
May 9 - May 11 2014,NA,ESL - East European Comic Con,http://lol.esportspedia.com/w/index.php?title=ESL_-_East_European_Comic_Con&action=edit&redlink=1
May 10 2014,Garena,2014 Garena League Spring,http://lol.esportspedia.com/wiki/2014_Garena_League/Spring_Championship
May 6 - May 7 2014,SoloMid Series,SoloMid EU Invitational 5,http://lol.esportspedia.com/wiki/Solomid_EU_Tournament_Circuit/Invitational_5
Mar 24 - May 6 2014,Garena,2014 TPL Spring,http://lol.esportspedia.com/wiki/2014_Thailand_Pro_League/Spring
May 3 - May 4 2014,NA,Lone Star Clash 3,http://lol.esportspedia.com/wiki/Lone_Star_Clash_3
May 1 - May 4 2014,NA,X5 Mega Arena,http://lol.esportspedia.com/wiki/X5_Mega_Arena
Apr 26 - May 4 2014,Pro Gaming Series,2014 PGS Summer Promo,http://lol.esportspedia.com/wiki/2014_PGS_Summer/Promotion
Feb 18 - May 3 2014,ESL Pro Series,EPS Germany Spring 2014,http://lol.esportspedia.com/wiki/ESL_Pro_Series_Germany/Spring_2014
Apr 30 2014,NA,EpicGear Cup 3,http://lol.esportspedia.com/wiki/EpicGear_Cup_3
Apr 12 - Apr 29 2014,NA,Challenger FaceOff,http://lol.esportspedia.com/wiki/Challenger_FaceOff
Apr 27 - Apr 29 2014,International Esports Tournament,IET 2014,http://lol.esportspedia.com/wiki/International_Esports_Tournament_2014
Apr 26 - Apr 27 2014,League of Legends Championship Series,NA LCS 2014 Summer Promo,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2014_Season/Summer_Promotion
Mar 2 - Apr 27 2014,SLTV StarSeries,SLTV StarSeries Season IX,http://lol.esportspedia.com/wiki/SLTV_StarSeries/Season_IX
Feb 27 - Apr 27 2014,NA,YY Stars League 2014 S1,http://lol.esportspedia.com/w/index.php?title=YY_Stars_League_2014/Season_1&action=edit&redlink=1
Apr 26 - Apr 27 2014,Garena Premier League,2014 GPL Summer VN Qualifier,http://lol.esportspedia.com/wiki/2014_GPL_Summer/Vietnamese_Qualifier
Apr 25 - Apr 27 2014,Garena,LUC 2014 - HK/MO,http://lol.esportspedia.com/wiki/League_University_Cup_2014_-_Hong_Kong_and_Macau_Regional
Feb 22 - Apr 26 2014,Tencent LoL Pro League,2014 LPL Spring,http://lol.esportspedia.com/w/index.php?title=2014_LPL_Spring/Regular_Season&action=edit&redlink=1
Apr 24 - Apr 25 2014,League of Legends Championship Series,EU LCS 2014 Summer Promo,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2014_Season/Summer_Promotion
Feb 18 - Apr 24 2014,LoL Secondary Pro League,2014 LSPL Spring,http://lol.esportspedia.com/wiki/2014_LoL_Secondary_Pro_League/Spring
Apr 19 - Apr 20 2014,Black Monster Cup,2014 BMC Spring NA,http://lol.esportspedia.com/wiki/2014_Black_Monster_Cup_Spring_North_America
Feb 6 - Apr 20 2014,ESL Pro Series,EPS NA Season 9,http://lol.esportspedia.com/wiki/National_ESL_Pro_Series/Season_IX
Apr 18 - Apr 20 2014,Riot Games Inc.,NA LCS 2014 Spring Playoffs,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2014_Season/Spring_Playoffs
Apr 18 - Apr 20 2014,NA,Insomnia51 Spring 2014,http://lol.esportspedia.com/wiki/Insomnia51_Spring_2014
Apr 18 - Apr 19 2014,NA,Selecter Cup,http://lol.esportspedia.com/wiki/Selecter_Cup
Apr 16 - Apr 19 2014,Copenhagen Games,Copenhagen Games 2014,http://lol.esportspedia.com/wiki/Copenhagen_Games_2014
Feb 18 - Apr 19 2014,Yam LOL Collegiate Championship,Yam Collegiate Champ. Spring,http://lol.esportspedia.com/wiki/Yam_LOL_Collegiate_Championship_2014/Spring
Apr 18 2014,Copa Latin America,LAT Cup 2014 - Chile,http://lol.esportspedia.com/wiki/Riot_Latin_America_Cup_2014_-_Chile
Apr 9 - Apr 18 2014,Garena Premier League,2014 GPL Summer TW Promo.,http://lol.esportspedia.com/wiki/2014_GPL_Summer/Taiwan_%26_Hong_Kong_%26_Macau_Promotion
Apr 15 - Apr 17 2014,Riot Games Inc.,EU LCS 2014 Spring Playoffs,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2014_Season/Spring_Playoffs
Apr 4 - Apr 13 2014,NA Challenger Series,2014 NA CS Playoffs,http://lol.esportspedia.com/wiki/2014_NA_Challenger_Series/Spring_Series/Playoffs
Feb 22 - Apr 13 2014,Vietnam Championship Series,VCS Spring 2014,http://lol.esportspedia.com/wiki/2014_Vietnam_Championship_Series_A_Spring
Apr 1 - Apr 11 2014,EU Challenger Series,2014 EU CS Playoffs,http://lol.esportspedia.com/wiki/2014_EU_Challenger_Series/Spring_Series/Playoffs
Feb 15 - Apr 6 2014,Pro Gaming Series,2014 PGS Spring,http://lol.esportspedia.com/wiki/2014_PGS_Spring
Jan 17 - Apr 6 2014,League of Legends Championship Series,NA LCS 2014 Spring Season,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2014_Season/Spring_Round_Robin
Feb 12 - Apr 6 2014,Garena Premier League,2014 GPL Spring,http://lol.esportspedia.com/wiki/2014_GPL_Spring
Feb 12 - Apr 5 2014,ESL Pro Series,ESL Pro Series CIS Season I,http://lol.esportspedia.com/w/index.php?title=ESL_Pro_Series_CIS/Season_I&action=edit&redlink=1
Mar 3 - Apr 3 2014,Riot Games Inc.,2014 Oceanic RT Autumn,http://lol.esportspedia.com/wiki/2014_Oceanic_Regional_Tournament/Autumn
Jan 14 - Apr 3 2014,League of Legends Championship Series,EU LCS 2014 Spring Season,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2014_Season/Spring_Round_Robin
Feb 9 - Mar 30 2014,League of Legends Japan League,2014 LJ League Winter,http://lol.esportspedia.com/wiki/2014_League_of_Legends_Japan_League/Winter_Season
Feb 8 - Mar 30 2014,Turkish Champions League,2014 TCL Spring,http://lol.esportspedia.com/wiki/2014_Turkish_Champions_League/Spring
Mar 1 - Mar 30 2014,NA Challenger Series,2014 NA Challenger Series #2,http://lol.esportspedia.com/wiki/2014_NA_Challenger_Series/Spring_Series/Challenger_Series_2
Feb 15 - Mar 30 2014,League of Legends Nova League,2014 LNL Spring,http://lol.esportspedia.com/wiki/2014_LNL_Spring
Mar 29 2014,Black Monster Cup,2014 BMC Spring EU,http://lol.esportspedia.com/wiki/2014_Black_Monster_Cup_Spring_Europe
Feb 26 - Mar 28 2014,EU Challenger Series,2014 EU Challenger Series #2,http://lol.esportspedia.com/wiki/2014_EU_Challenger_Series/Spring_Series/Series_2
Feb 17 - Mar 26 2014,North American Challenger League,NACL Season 2,http://lol.esportspedia.com/wiki/North_American_Challenger_League_Season_2
Mar 22 - Mar 23 2014,Brasil Gaming League,BGL Arena #3,http://lol.esportspedia.com/wiki/Brasil_Gaming_League_Arena_3
Mar 13 - Mar 22 2014,League of Legends Japan League,2014 LJL Challenger Winter,http://lol.esportspedia.com/wiki/2014_League_of_Legends_Japan_League/Challenger_Tournament/Winter_Season
Mar 19 2014,NA,EpicGear Cup 2,http://lol.esportspedia.com/wiki/EpicGear_Cup_2
Mar 17 - Mar 19 2014,EUW Challenger Series,EUW Challenger Series #20,http://lol.esportspedia.com/wiki/EUW_Challenger_Series/Week_20_Cup
Mar 14 - Mar 16 2014,EUW Challenger Series,NA Challenger Series #2,http://lol.esportspedia.com/wiki/NA_Challenger_Series/Cup_2
Mar 14 - Mar 16 2014,Intel Extreme Masters,IEM World Championship,http://lol.esportspedia.com/wiki/IEM_Season_VIII_-_World_Championship
Jan 7 - Mar 16 2014,NA,Ozone Masters League Summer,http://lol.esportspedia.com/wiki/2014_Ozone_Masters_League/Summer
Feb 8 - Mar 7 2014,NA,bigfile Battle Royal Season 3,http://lol.esportspedia.com/wiki/NiceGameTV_bigfile_Battle_Royal_Season_3
Mar 1 - Mar 2 2014,NA,FACEIT Challenger Invitational 2,http://lol.esportspedia.com/wiki/FACEIT_Challenger_Invitational_2
Feb 1 - Mar 1 2014,JCG Premier League,2014 JCG Premier League S1,http://lol.esportspedia.com/wiki/2014_JCG_Premier_League/Season_1
Feb  24 - Feb 28 2014,Copa Latin America,Chile National League,http://lol.esportspedia.com/wiki/Chile_National_League
Feb 26 - Feb 28 2014,NA,EpicGear Cup 1,http://lol.esportspedia.com/wiki/EpicGear_Cup_1
Feb 15 - Feb 26 2014,LoL The Champions,Champions Spring Qual.,http://lol.esportspedia.com/wiki/HOT6iX_Champions_Spring_2014/Qualifiers
Feb 21 - Feb 23 2014,EUW Challenger Series,NA Challenger Series #1,http://lol.esportspedia.com/wiki/NA_Challenger_Series/Cup_1
Jan 22 - Feb 23 2014,Copa Latin America,Colombia National League,http://lol.esportspedia.com/wiki/Colombia_National_League
Feb 2 - Feb 18 2014,Copa Latin America,Mexico National League,http://lol.esportspedia.com/wiki/Mexico_National_League
Jan 17 - Feb 16 2014,NA Challenger Series,2014 NA Challenger Series #1,http://lol.esportspedia.com/wiki/2014_NA_Challenger_Series/Spring_Series
Feb 13 - Feb 16 2014,LoL Secondary Pro League,2014 LSPL Spring Qual.,http://lol.esportspedia.com/wiki/2014_LoL_Secondary_Pro_League/Spring/Qualifier
Jan 14 - Feb 14 2014,EU Challenger Series,2014 EU Challenger Series #1,http://lol.esportspedia.com/wiki/2014_EU_Challenger_Series/Spring_Series
Feb 4 - Feb 10 2014,North American Challenger League,NACL Season 2 Qualifier,http://lol.esportspedia.com/wiki/North_American_Challenger_League_Season_2/Qualifiers
Dec 16 - Feb 8 2014,CGA Major League,2013 CML Winter,http://lol.esportspedia.com/wiki/2013_CGA_Major_League/Winter
Feb 1 - Feb 2 2014,NA,Razer LoL Clash #1,http://lol.esportspedia.com/wiki/Razer_League_of_Legends_Clash#1
Feb 1 - Feb 2 2014,NA,FACEIT Challenger Invitational,http://lol.esportspedia.com/wiki/FACEIT_Challenger_Invitational
Dec 1 - Feb 2 2014,Turkish Champions League,2014 TCL Winter,http://lol.esportspedia.com/wiki/2014_Turkish_Champions_League/Winter
Jan 29 2014,NA,ROCCAT KOTH Week 6,http://lol.esportspedia.com/wiki/ROCCAT_King_of_the_Hill_2013-2014#Week_6
Jan 28 - Jan 29 2014,Intel Extreme Masters,IEM Season VIII Sao Paulo,http://lol.esportspedia.com/wiki/IEM_Season_VIII_-_Sao_Paulo
Jan 25 - Jan 28 2014,EUW Challenger Series,EUW Challenger Series #18,http://lol.esportspedia.com/wiki/EUW_Challenger_Series/Week_18_Cup
Jan 15 - Jan 27 2014,League of Legends Nova League,2014 LNL Spring Qualifier,http://lol.esportspedia.com/wiki/2014_LNL_Spring/Qualifiers
Jan 25 - Jan 26 2014,Turkish Champions League,2014 TCL Spring Promotion,http://lol.esportspedia.com/wiki/2014_Turkish_Champions_League/Spring/Promotion
Jan 25 - Jan 26 2014,JCG Premier League,JCG Premier L. Grand Finals,http://lol.esportspedia.com/wiki/JCG_Premier_League/Finals
Nov 15 - Jan 25 2014,LoL The Champions,PANDORA.TV Champions Winter,http://lol.esportspedia.com/wiki/PANDORA.TV_Champions_Winter_2013-2014
Jan 13 - Jan 23 2014,EUW Challenger Series,EUW Challenger Series #17,http://lol.esportspedia.com/wiki/EUW_Challenger_Series/Week_17_Cup
Dec 7 - Jan 19 2014,Intel Extreme Masters,IEM Sao Paulo Qualifiers,http://lol.esportspedia.com/wiki/IEM_Season_VIII_-_Sao_Paulo/Qualifiers
Dec 1 - Jan 19 2014,NA,Liga Samsung,http://lol.esportspedia.com/wiki/Liga_Samsung_(Ending_2013)
Dec 23 - Jan 18 2014,G-League,G-League 2013,http://lol.esportspedia.com/wiki/G-League_2013
Nov 12 - Jan 18 2014,NiceGameTV LoL Battle,ZOTAC NLB Winter 2013-2014,http://lol.esportspedia.com/wiki/ZOTAC_NLB_Winter_2013-2014
Nov 21 - Jan 14 2014,APG Premier League,APG Season 3,http://lol.esportspedia.com/w/index.php?title=APG_Premier_League/Season_3&action=edit&redlink=1
Jan 6 - Jan 12 2014,NA,Intel Christmas Cup,http://lol.esportspedia.com/wiki/Intel_Christmas_Cup
Jun 24 - Jan 12 2014,ESL Pro Series,EPS Spain Season XI,http://lol.esportspedia.com/wiki/ESL_Pro_Series_Spain/Season_XI
Jan 11 - Jan 12 2014,SCAN Tournament,SCAN EUW Winter Invitational,http://lol.esportspedia.com/wiki/SCAN_EUW_Winter_Invitational
Jan 11 - Jan 12 2014,Garena Premier League,2014 GPL Spring PH Qualifier,http://lol.esportspedia.com/wiki/2014_GPL_Spring/Philippine_Qualifier
Nov 18 - Jan 12 2014,2014 Thailand Pro League/Winter,2014 TPL Winter,http://lol.esportspedia.com/wiki/2014_Thailand_Pro_League/Winter
Jan 11 - Jan 12 2014,Vietnam Championship Series,VCS Spring 2014 Qualifiers,http://lol.esportspedia.com/wiki/Vietnam_Championship_Series/Spring_2014/Qualifiers
Jan 11 2014,League of Legends Championship Series,EU LCS Replacement Play-In,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2014_Season/Spring_Promotion#Replacement_Play-In
Oct 30 - Jan 11 2014,Garena Premier League,2014 GPL Winter,http://lol.esportspedia.com/wiki/2014_GPL_Winter
Oct 26 - Jan 5 2014,League of Legends Nova League,2014 LNL Winter,http://lol.esportspedia.com/wiki/2014_LNL_Winter
Dec 23 - Jan 5 2014,Garena Premier League,2014 GPL Spring VN Qualifier,http://lol.esportspedia.com/wiki/2014_GPL_Spring/Vietnamese_Qualifier
Jan 1 - Jan 3 2014,Demacia Cup,Demacia Cup Season 1,http://lol.esportspedia.com/wiki/Demacia_Cup/Season_1
Dec 28 - Dec 29 2013,NA,Razer LoL Holiday Bash,http://lol.esportspedia.com/wiki/Razer_League_of_Legends_Holiday_Bash
Nov 10 - Dec 29 2013,JCG Premier League,JCG Premier League Season IV,http://lol.esportspedia.com/wiki/JCG_Premier_League/Season_IV
Dec 17 - Dec 29 2013,League of Legends Nova League,2014 LNL Spring HK/MO Quali.,http://lol.esportspedia.com/wiki/2014_LNL_Spring/Promotion/Qualifiers/Hong_Kong_%26_Macau
Dec 28 - Dec 29 2013,Dell Invitational Cup,Dell Invitational Cup VI,http://lol.esportspedia.com/wiki/Dell_Invitational_Cup_VI
Nov 19 - Dec 28 2013,Yam LOL Collegiate Championship,Yam Collegiate Champ. Winter ,http://lol.esportspedia.com/wiki/Yam_LOL_Collegiate_Championship_2013/Winter
Dec 14 - Dec 22 2013,Riot Games Inc.,Battle of the Atlantic 2013,http://lol.esportspedia.com/wiki/Battle_of_the_Atlantic_2013
Dec 6 - Dec 22 2013,Riot Games Inc.,Riot S4 NA Spring Promotion,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2014_Season/Spring_Promotion
Nov 18 - Dec 22 2013,NA,WePlay LoL Invitational,http://lol.esportspedia.com/wiki/WePlay_LoL_Invitational
Dec 16 - Dec 22 2013,EUW Challenger Series,EUW Challenger Series #16,http://lol.esportspedia.com/wiki/EUW_Challenger_Series/Week_16_Cup
Dec 21 - Dec 22 2013,The Legends Circuit,2013 TLC Summer Grand Finals,http://lol.esportspedia.com/wiki/2013_The_Legends_Circuit/Summer/Playoffs
Dec 14 - Dec 22 2013,Garena Talk Talk League,2014 Garena TTL Winter,http://lol.esportspedia.com/wiki/2014_Garena_Talk_Talk_League_Winter
Nov 23 - Dec 22 2013,Garena Talk Talk League,2013 Garena TTL Champ.,http://lol.esportspedia.com/wiki/2013_Garena_Talk_Talk_League/Championship
Dec 6 - Dec 22 2013,NA,King of the Rift,http://lol.esportspedia.com/wiki/King_of_the_Rift
Dec 21 2013,NA,LoLGameRu Christmas Tourn.,http://lol.esportspedia.com/wiki/LoLGameRu_Christmas_Tournament
Dec 21 2013,Garena,GeForce Campus L. Autumn,http://lol.esportspedia.com/wiki/GeForce_e-Sports_Campus_League_Autumn_Season
Dec 6 - Dec 21 2013,E-Sports Ranking,ESR 2013 Season 4,http://lol.esportspedia.com/wiki/E-Sports_Ranking_2013/Season_4
Oct 18 - Dec 19 2013,Amateur League Championship Series,Amateur LCS,http://lol.esportspedia.com/wiki/Amateur_League_Championship_Series
Oct 19 - Dec 18 2013,ESL Pro Series,EPS NA Season 8,http://lol.esportspedia.com/wiki/National_ESL_Pro_Series/Season_VIII
Nov 2 - Dec 17 2013,Vietnam Championship Series,2013 VCS Winter,http://lol.esportspedia.com/wiki/Vietnam_Championship_Series/Winter_2013
Oct 7 - Dec 15 2013,North American Challenger League,North Am. Challenger League,http://lol.esportspedia.com/wiki/North_American_Challenger_League
Dec 5 - Dec 15 2013,Riot Games Inc.,Riot S4 EU Spring Promotion,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2014_Season/Spring_Promotion
Dec 14 - Dec 15 2013,GALAXY eSports Carnival,2013 GALAXY eSports Carnival,http://lol.esportspedia.com/wiki/2013_GALAXY_eSports_Carnival
Dec 14 - Dec 15 2013,NA,LoL AU/NZ Challenge,http://lol.esportspedia.com/wiki/League_of_Legends_Australia/New_Zealand_Challenge
Nov 30 - Dec 12 2013,Cyber Games Arena,2013 CML Winter Qual.,http://lol.esportspedia.com/wiki/2013_CGA_Major_League/Winter/Qualifiers
Dec 6 - Dec 8 2013,NA,Team Infused Challenger Cup,http://lol.esportspedia.com/wiki/Team_Infused_Challenger_Cup
Dec 7 - Dec 8 2013,NA,Liga Exodo 2013,http://lol.esportspedia.com/wiki/Liga_Exodo_2013
Oct 10 - Dec 8 2013,ESL Pro Series,EPS Germany Winter 2013,http://lol.esportspedia.com/wiki/ESL_Pro_Series_Germany/Winter_2013
Nov 18 - Dec 7 2013,Garena Talk Talk League,2014 Garena TTL Winter Qual.,http://lol.esportspedia.com/wiki/2014_Garena_Talk_Talk_League_Winter/Qualifiers
Dec 7 2013,NA,TECHLABS CUP KZ 2013,http://lol.esportspedia.com/wiki/TECHLABS_CUP_KZ_2013
Oct 4 - Dec 6 2013,ESL Pro Series,EPS Poland Season 7,http://lol.esportspedia.com/wiki/ESL_Pro_Series_Poland/Season_VII
Dec 3 - Dec 4 2013,Pros Play for the Philippines,Pros Play for the Philippines,http://lol.esportspedia.com/wiki/Pros_Play_for_the_Philippines
Nov 29 - Dec 1 2013,NA,Insomnia50 Winter 2013,http://lol.esportspedia.com/wiki/Insomnia50_Winter_2013
Nov 28 - Dec 1 2013,World Cyber Games,WCG 2013 Grand Final,http://lol.esportspedia.com/wiki/2013_World_Cyber_Games/Main_Tournament
Nov 28 - Dec 1 2013,Intel Extreme Masters,IEM Season VIII Singapore,http://lol.esportspedia.com/wiki/IEM_Season_VIII_-_Singapore
Nov 16 - Nov 30 2013,Riot Games Inc.,NA S4 Promotion Qualifier 2,http://lol.esportspedia.com/wiki/North_American_Season_4_Promotion_Tournament_Qualifier_2
Nov 16 - Nov 30 2013,Riot Games Inc.,EU S4 Promotion Qualifier 2,http://lol.esportspedia.com/wiki/Europe_Season_4_Promotion_Tournament_Qualifier_2
Nov 28 - Nov 30 2013,DreamHack,DreamHack Winter 2013,http://lol.esportspedia.com/wiki/DreamHack_Winter_2013
Nov 28 2013,DreamHack,DH Winter 2013 BYOC Qual.,http://lol.esportspedia.com/wiki/DreamHack_Winter_2013/Qualifiers#BYOC_Qualifier
Nov 21 - Nov 26 2013,Intel Extreme Masters,IEM Singapore Qualifiers,http://lol.esportspedia.com/wiki/IEM_Season_VIII_-_Singapore/Qualifiers
Nov 25 2013,Black Monster Cup,Black Monster Cup #4,http://lol.esportspedia.com/wiki/Black_Monster_Cup/4
Nov 23 - Nov 24 2013,NA,ROCCAT CUP,http://lol.esportspedia.com/w/index.php?title=ROCCAT_CUP&action=edit&redlink=1
Nov 23 - Nov 24 2013,Intel Extreme Masters,IEM Season VIII Cologne,http://lol.esportspedia.com/wiki/IEM_Season_VIII_-_Cologne
Nov 20 - Nov 24 2013,Tencent LoL Pro League,2013 LPL Summer Playoffs,http://lol.esportspedia.com/wiki/2013_LPL_Summer/Playoffs
Oct 13 - Nov 24 2013,The Legends Circuit,2013 TLC Summer - Singapore,http://lol.esportspedia.com/wiki/2013_The_Legends_Circuit_Summer/Singapore
Nov 14 - Nov 24 2013,Tencent Games Arena,TGA Winter 2013,http://lol.esportspedia.com/wiki/Tencent_Games_Arena_Grand_Prix/Winter_2013
Oct 12 - Nov 23 2013,The Legends Circuit,2013 TLC Summer - Malaysia,http://lol.esportspedia.com/wiki/2013_The_Legends_Circuit_Summer/Malaysia
Apr 28 - Nov 21 2013,Garena Talk Talk League,Garena Talk Talk League,http://lol.esportspedia.com/wiki/Garena_Talk_Talk_League
Nov 5 - Nov 19 2013,APG Premier League,APG Season 3 Qualifier,http://lol.esportspedia.com/w/index.php?title=APG_Premier_League/Season_3/Qualifiers&action=edit&redlink=1
Sep 19 - Nov 20 2013,NA,Plantronics RuLoL League,http://lol.esportspedia.com/wiki/Plantronics_RuLoL_League
Nov 14 - Nov 17 2013,EUW Challenger Series,EUW Challenger Series #15,http://lol.esportspedia.com/wiki/EUW_Challenger_Series/Week_15_Cup
Nov 13 2013,DreamHack,DH Winter 2013 Online Qual.,http://lol.esportspedia.com/wiki/DreamHack_Winter_2013/Qualifiers
Nov 9 - Nov 10 2013,Brasil Gaming League,Brasil Gaming League Arena #2,http://lol.esportspedia.com/wiki/Brasil_Gaming_League_Arena_2
Nov 8 - Nov 10 2013,National Electronic Sports Tournament,2013 NEST Finals,http://lol.esportspedia.com/w/index.php?title=National_Electronic_Sports_Tournament&action=edit&redlink=1
Nov 6 - Nov 8 2013,EUW Challenger Series,EUW Challenger Series #14,http://lol.esportspedia.com/wiki/EUW_Challenger_Series/Week_14_Cup
Nov 1 - Nov 6 2013,G-League,G-League 2013 Qualifiers,http://lol.esportspedia.com/wiki/G-League_2013/Qualifiers
Oct 28 - Nov 5 2013,Intel Extreme Masters,IEM Cologne Amat. Qualifiers,http://lol.esportspedia.com/wiki/IEM_Season_VIII_-_Cologne/Qualifiers
Oct 5 - Nov 3 2013,World Cyber Games,WCG 2013 Argentina Qualifier,http://lol.esportspedia.com/wiki/2013_World_Cyber_Games/Qualifiers/Argentina
Aug 24 - Nov 3 2013,World Cyber Games,WCG 2013 Costa Rica Qualifier,http://lol.esportspedia.com/wiki/2013_World_Cyber_Games/Qualifiers/Costa_Rica
Oct 9 - Nov 3 2013,World Cyber Games,WCG 2013 Chile Qualifier,http://lol.esportspedia.com/wiki/2013_World_Cyber_Games/Qualifiers/Chile
Oct 31 - Nov 3 2013,ASUS ROG,Paris Games Week 2013,http://lol.esportspedia.com/wiki/ASUS_Republic_of_Gamers_-_Paris_Games_Week_2013
Nov 1 - Nov 3 2013,IeSF 2013 World Championship,IeSF 2013 World Championship,http://lol.esportspedia.com/wiki/IeSF_2013_World_Championship
Nov 2 - Nov 3 2013,Dell Invitational Cup,Dell Invitational Cup V,http://lol.esportspedia.com/wiki/Dell_Invitational_Cup_V
Oct 19 - Nov 2 2013,Riot Games Inc.,NA S4 Promotion Qualifier 1,http://lol.esportspedia.com/wiki/North_American_Season_4_Promotion_Tournament_Qualifier_1
