dates,league,name,link
Jun 6 - Sep 5 2015,The Legends Circuit,TLC Summer 2015 Series MY,http://lol.esportspedia.com/wiki/2015_The_Legends_Circuit/Summer/Malaysia
Aug 29 - Aug 31 2015,Riot Games Inc.,2015 North America Regional Finals,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Regional_Finals
Aug 29 - Aug 31 2015,Riot Games Inc.,2015 Europe Regional Finals,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Regional_Finals
Aug 16 - Aug 29 2015,LoL The Champions,Champions Summer 2015 Playoffs,http://lol.esportspedia.com/wiki/Champions_Summer_2015/Playoffs
Jul 18 - Aug 29 2015,Hong Kong Esports Tournament,HK Esports Tournament S3,http://lol.esportspedia.com/wiki/Hong_Kong_Esports_Tournament/Season_3
May 17 - Aug 24 2015,Vietnam Championship Series,VCS Summer 2015 Season,http://lol.esportspedia.com/wiki/2015_Vietnam_Championship_Series_A_Summer
Aug 8 - Aug 23 2015,League of Legends Championship Series,2015 NA LCS Summer Playoffs,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Summer_Playoffs
Aug 8 - Aug 23 2015,League of Legends Championship Series,2015 EU LCS Summer Playoffs,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Summer_Playoffs
Aug 11 - Aug 23 2015,Tencent LoL Pro League,LPL Summer 2015 Playoffs,http://lol.esportspedia.com/wiki/2015_LPL/Summer/Playoffs
Aug 9 - Aug 23 2015,JCG Premier League,2015 JCG Premier League Summer,http://lol.esportspedia.com/wiki/2015_JCG_Premier_League/Summer_Season
Aug 21 - Aug 23 2015,NA,ESF 2015 LG Tournament Final,http://lol.esportspedia.com/wiki/E-Sport_Festival_2015_Logitech_G_Tournament/Final
Aug 11 - Aug 23 2015,Challengers Korea,Challengers Korea Summer Playoffs,http://lol.esportspedia.com/wiki/Challengers_Korea_Summer_2015/Playoffs
May 22 - Aug 22 2015,Pro Gaming Series,2015 PGS Summer Season,http://lol.esportspedia.com/wiki/PGS/2015_Season/Summer_Season
Aug 20 - Aug 21 2015,Turkish Champions League,TCL Winter Qualifiers 2016,http://lol.esportspedia.com/wiki/Turkish_Champions_League/2016_Season/Winter_Qualifiers
Aug 15 - Aug 16 2015,Garena,2015 SEA Regional Finals,http://lol.esportspedia.com/wiki/2015_Season_Southeast_Asia_Regional_Finals
Aug 14 - Aug 16 2015,LMS,2015 LMS Regional Finals,http://lol.esportspedia.com/wiki/2015_Season_Taiwan_Regional_Finals
Jul 14 - Aug 15 2015,LOL Ladies Battle,2015 Ladies Battle Summer Season,http://lol.esportspedia.com/wiki/2015_LOL_Ladies_Battle/Summer_Season
Aug 10 - Aug 13 2015,Tencent LoL Pro League,LPL Spring 2016 Promo.,http://lol.esportspedia.com/wiki/2016_LPL/Spring/Promotion
May 20 - Aug 13 2015,LoL The Champions,Champions Summer 2015,http://lol.esportspedia.com/wiki/Champions_Summer_2015
Aug 4 - Aug 12 2015,NA Challenger Series,NA CS Summer 2015 Playoffs ,http://lol.esportspedia.com/wiki/2015_NA_Challenger_Series/Summer_Playoffs
Aug 4 - Aug 12 2015,EU Challenger Series,EU CS Summer 2015 Playoffs ,http://lol.esportspedia.com/wiki/2015_EU_Challenger_Series/Summer_Playoffs
Jun 9 - Aug 9 2015,ESL Pro Series,ESLM Summer 2015,http://lol.esportspedia.com/wiki/ESL_Meisterschaft/Summer_2015
May 22 - Aug 9 2015,Tencent LoL Pro League,LPL Summer 2015 Season,http://lol.esportspedia.com/wiki/2015_LPL/Summer/Regular_Season
Aug 9 2015,,ESF 2015 LG Tournament Stage 4,http://lol.esportspedia.com/wiki/E-Sport_Festival_2015_Logitech_G_Tournament/Stage_4
Aug 8 - Aug 9 2015,Garena Premier League,2015 GPL Summer Playoffs,http://lol.esportspedia.com/wiki/2015_GPL_Summer/Finals
Aug 8 2015,Copa Latin America,LAC Clausura 2015 Grand Final,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/Closing_Cup/Grand_Final
Jul 11 - Aug 8 2015,Circuit Brazilian League of Legends,2015 CBLOL Winter Playoffs,http://lol.esportspedia.com/wiki/CBLOL/2015_Season/Winter_Playoffs
Jul 25 - Aug 8 2015,Turkish Champions League,TCL Summer Playoffs 2015,http://lol.esportspedia.com/wiki/2015_Turkish_Champions_League/Summer_Playoffs
Jul 20 - Aug 8 2015,Oceanic Pro League,OPL 2015 Split 2 Playoffs,http://lol.esportspedia.com/wiki/OPL/2015_Season/Split_2_Playoffs
Aug 8 2015,League of Legends Japan League,LoL J.League 2015 Grand Final,http://lol.esportspedia.com/wiki/2015_League_of_Legends_Japan_League/Grand_Finals
Jun 24 - Aug 7 2015,Garena Premier League,2015 GPL Summer Season,http://lol.esportspedia.com/wiki/2015_GPL_Summer
May 26 - Aug 6 2015,Challengers Korea,Challengers Korea Summer 2015,http://lol.esportspedia.com/wiki/Challengers_Korea_Summer_2015
Jul 22 - Aug 6 2015,LoL Secondary Pro League,LSPL Summer Playoffs 2015,http://lol.esportspedia.com/wiki/2015_LoL_Secondary_Pro_League/Summer_Playoffs
Apr 27 - Aug 2 2015,Garena,TPL Summer 2015,http://lol.esportspedia.com/wiki/2015_Thailand_Pro_League/Summer
Jul 28 - Jul 30 2015,Copa Latin America,LAC 2016 LAS Promo.,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAS/Season_2016_Promotion
Jul 27 - Jul 29 2015,Copa Latin America,LAC 2016 LAN Promo.,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAN/Season_2016_Promotion
Jul 23 - Jul 28 2015,NA,2015 ESCC,http://lol.esportspedia.com/wiki/2015_Electronic_Sports_China_Cup
May 30 - Jul 26 2015,League of Legends Championship Series,NA LCS Summer 2015 Season,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Summer_Season
May 30 - Jul 26 2015,SLTV StarSeries,SLTV StarSeries Summer 2015,http://lol.esportspedia.com/wiki/SLTV_StarSeries/Summer_Split_2015
Jul 26 2015,NA,ESF 2015 LG Tournament Stage 3,http://lol.esportspedia.com/wiki/E-Sport_Festival_2015_Logitech_G_Tournament/Stage_3
Jul 24 - Jul 26 2015,LMS,2015 LMS Summer Playoffs,http://lol.esportspedia.com/wiki/LMS/2015_Season/Summer_Playoffs
May 23 - Jul 25 2015,League of Legends Japan League,LJ League 2015 Season 2,http://lol.esportspedia.com/wiki/2015_League_of_Legends_Japan_League/Season_2
May 28 - Jul 24 2015,League of Legends Championship Series,EU LCS Summer 2015 Season,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Summer_Season
Jun 23 - Jul 22 2015,NA Challenger Series,NA CS Summer 2015 Season,http://lol.esportspedia.com/wiki/2015_NA_Challenger_Series/Summer_Season
Jun 23 - Jul 22 2015,EU Challenger Series,EU CS Summer 2015 Season,http://lol.esportspedia.com/wiki/2015_EU_Challenger_Series/Summer_Season
Jul 16 - Jul 19 2015,NA,epic.FIFTEEN,http://lol.esportspedia.com/wiki/Epic.FIFTEEN
Jul 16 - Jul 18 2015,NA,Island of Legends 2015,http://lol.esportspedia.com/w/index.php?title=Island_of_Legends_2015&action=edit&redlink=1
Jul 17 - Jul 18 2015,DreamHack,DreamHack Valencia 2015,http://lol.esportspedia.com/wiki/DreamHack_Valencia_2015
Jul 7 - Jul 16 2015,Copa Latin America,LAC 2015 Clausura Finals LAS,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAS/Closing_Cup/Playoffs
Jul 6 - Jul 15 2015,Copa Latin America,LAC 2015 Clausura Finals LAN,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAN/Closing_Cup/Playoffs
May 16 - Jul 12 2015,Turkish Champions League,TCL Summer 2015 Season,http://lol.esportspedia.com/wiki/2015_Turkish_Champions_League/Summer_Season
May 25 - Jul 12 2015,Demacia Cup,Demacia Cup Summer 2015,http://lol.esportspedia.com/wiki/2015_Demacia_Cup/Summer_Season
May 20 - Jul 12 2015,LMS,LMS Summer 2015 Season,http://lol.esportspedia.com/wiki/LMS/2015_Season/Summer_Season
Apr 18 - Jul 9 2015,League One,League One North American Cup,http://lol.esportspedia.com/wiki/League_One_North_American_Cup
Apr 14 - Jul 9 2015,League One,League One European Cup,http://lol.esportspedia.com/wiki/League_One_European_Cup
May 25 - Jul 9 2015,Oceanic Pro League,OPL 2015 Split 2,http://lol.esportspedia.com/wiki/OPL/2015_Season/Split_2
May 23 - Jul 5 2015,Circuit Brazilian League of Legends,CBLOL Winter 2015 Season,http://lol.esportspedia.com/wiki/CBLOL/2015_Season/Winter_Season
Jul 4 - Jul 5 2015,NA,eSports Festival 2015,http://lol.esportspedia.com/wiki/ESports_Festival_2015
Jun 20 - Jul 5 2015,Hong Kong E-Sports Challenge,HKESC Summer Playoffs,http://lol.esportspedia.com/wiki/Hong_Kong_E-Sports_Challenge_Summer_Season/Playoffs
Apr 15 - Jul 4 2015,ESL Pro Series, EMP Spring 2015,http://lol.esportspedia.com/wiki/ESL_Mistrzostwa_Polski/Spring_2015
Jun 2 - Jul 2 2015,Copa Latin America,LAC 2015 Clausura LAS,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAS/Closing_Cup/Regular_Season
May 26 - Jul 2 2015,LoL Secondary Pro League,LSPL Summer 2015 Season,http://lol.esportspedia.com/wiki/2015_LoL_Secondary_Pro_League/Summer
Jun 1 - Jul 1 2015,Copa Latin America,LAC 2015 Clausura LAN,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAN/Closing_Cup/Regular_Season
Apr 7 - Jun 29 2015,ESL Pro Series,ECN Spring 2015,http://lol.esportspedia.com/wiki/ESL_Championnat_National/Spring_2015
Feb 10 - Jun 28 2015,Liga de Videojuegos Profesional,LVP Season 8,http://lol.esportspedia.com/wiki/Liga_de_Videojuegos_Profesional/Season_8
Jun 8 - Jun 28 2015,Tencent Games Arena,2015 Longzhu Gaming Queen Inv.,http://lol.esportspedia.com/wiki/2015_LongZhu_Gaming_Queen_Invitational
Jun 13 - Jun 16 2015,DreamHack,DreamHack Summer 2015,http://lol.esportspedia.com/w/index.php?title=DreamHack_Summer_2015&action=edit&redlink=1
May 26 - Jun 16 2015,NA Challenger Series,NA CS Summer 2015 Qual.,http://lol.esportspedia.com/wiki/2015_NA_Challenger_Series/Summer_Qualifier
Apr 29 - Jun 17 2015,Yam LOL Collegiate Championship,4Gamers Collegiate Champ. S1,http://lol.esportspedia.com/wiki/2015_4Gamers_Collegiate_Championship/Season_1
Apr 4 - Jun 14 2015,The Legends Circuit,TLC Spring 2015 Series,http://lol.esportspedia.com/wiki/2015_The_Legends_Circuit/Spring
May 26 - Jun 10 2015,EU Challenger Series,EU CS Summer 2015 Qual.,http://lol.esportspedia.com/wiki/2015_EU_Challenger_Series/Summer_Qualifier
May 23 - May 30 2015,Hong Kong E-Sports Challenge,HKESC Summer Week 4,http://lol.esportspedia.com/wiki/Hong_Kong_E-Sports_Challenge_Summer_Season/Week_4
Apr 6 - May 23 2015,ESL Pro Series,ESL UK Premiership Spring 2015,http://lol.esportspedia.com/wiki/ESL_UK_Premiership_Spring_2015
May 15 - May 16 2015,LoL The Champions,Champions Summer 2015 Promo,http://lol.esportspedia.com/wiki/Champions_Summer_2015/Promotion
May 9 - May 16 2015,Hong Kong E-Sports Challenge,HKESC Summer Week 3,http://lol.esportspedia.com/wiki/Hong_Kong_E-Sports_Challenge_Summer_Season/Week_3
Apr 14 - May 17 2015,NA,AlphaDraft Challenger League,http://lol.esportspedia.com/wiki/AlphaDraft_Challenger_League
May 7 - May 10 2015,2015 Mid-Season Invitational,2015 Mid-Season Invitational,http://lol.esportspedia.com/wiki/2015_Mid-Season_Invitational
Apr 16 - May 10 2015,ESL Pro Series,ESL SEE Championship Season 1,http://lol.esportspedia.com/wiki/ESL_South_East_Europe_Championship/Season_1
May 8 - May 10 2015,DreamHack,DreamHack Tours 2015,http://lol.esportspedia.com/wiki/DreamHack_Tours_2015
Mar 28 - May 9 2015,Garena,LoL Garuda Series S3,http://lol.esportspedia.com/wiki/LoL_Garuda_Series/Season_3
May 6 - May 7 2015,Tencent Games Arena,TGA Hero of Cities S8,http://lol.esportspedia.com/wiki/Tencent_Games_Arena_Hero_of_Cities/Season_8
May 1 - May 3 2015,NA,XMA MEGA ARENA São Paulo,http://lol.esportspedia.com/wiki/XMA_MEGA_ARENA/Sao_Paulo_2015
Feb 24 - May 3 2015,ESL Pro Series,ESLM Spring 2015,http://lol.esportspedia.com/wiki/ESL_Meisterschaft/Spring_2015
May 2 - May 3 2015,SCAN Tournament,SCAN Invitational 2,http://lol.esportspedia.com/wiki/SCAN_Invitational_2
May 1 - May 3 2015,Circuit Brazilian League of Legends,2015 CBLOL Winter Promo,http://lol.esportspedia.com/wiki/CBLOL/2015_Season/Winter_Promotion
May 2 - May 3 2015,SLTV StarSeries,SLTV StarSeries Summer Promo,http://lol.esportspedia.com/wiki/SLTV_StarSeries/2015_Season/Summer_Promotion
May 2 - May 3 2015,Oceanic Pro League,2015 OPL Split 2 Promo,http://lol.esportspedia.com/wiki/OPL/2015_Season/Split_2_Promotion
Apr 25 - May 3 2015,LMS,2015 LMS Summer Promo,http://lol.esportspedia.com/wiki/LMS/2015_Season/Summer_Promotion
Apr 17 - May 2 2015,LoL The Champions,Champions Spring 2015 Playoffs,http://lol.esportspedia.com/wiki/SBENU_Champions_Spring_2015/Playoffs
Apr 27 - Apr 29 2015,International Esports Tournament,IET 2015,http://lol.esportspedia.com/wiki/International_Esports_Tournament_2015
Apr 26 2015,League of Legends Championship Series,2015 NA LCS Summer Promo,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Summer_Promotion
Apr 24 - Apr 26 2015,DreamHack,DreamHack Bucharest 2015,http://lol.esportspedia.com/w/index.php?title=DreamHack_Bucharest_2015&action=edit&redlink=1
Apr 14 - Apr 26 2015,Tencent LoL Pro League,2015 LPL Spring Playoffs,http://lol.esportspedia.com/wiki/2015_LPL/Spring/Playoffs
Apr 21 - Apr 25 2015,2015 International Wild Card Invitational,2015 Int. Wild Card Invitational,http://lol.esportspedia.com/wiki/2015_International_Wild_Card_Invitational
Apr 25 2015,League of Legends Championship Series,2015 EU LCS Summer Promo,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Summer_Promotion
Apr 4 - Apr 19 2015,League of Legends Championship Series,2015 NA LCS Spring Playoffs,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Spring_Playoffs
Apr 4 - Apr 19 2015,League of Legends Championship Series,2015 EU LCS Spring Playoffs,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Spring_Playoffs
Apr 18 - Apr 19 2015,Turkish Champions League,2015 TCL Summer Promo,http://lol.esportspedia.com/wiki/2015_Turkish_Champions_League/Summer_Qualifiers
Apr 18 - May 3 2015,Garena,Iron Forum Ladies' Night 2015,http://lol.esportspedia.com/wiki/Iron_Forum_Ladies%27_Night_2015
Apr 14 - Apr 19 2015,Tencent LoL Pro League,2015 LPL Summer Promo,http://lol.esportspedia.com/wiki/2015_LPL/Summer/Promotion
Mar 21 - Apr 18 2015,Circuit Brazilian League of Legends,2015 CBLOL Summer Playoffs,http://lol.esportspedia.com/wiki/CBLOL/2015_Season/Summer_Playoffs
Apr 14 - Apr 16 2015,Copa Latin America,LAC 2015 Clausura LAN Promo,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAN/Closing_Cup/Promotion
Mar 10 - Apr 16 2015,Challengers Korea,Challengers Korea Spring #2,http://lol.esportspedia.com/wiki/Challengers_Korea_Spring_2015/Series_2
Apr 13 - Apr 15 2015,Copa Latin America,LAC 2015 Clausura LAS Promo,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAS/Closing_Cup/Promotion
Apr 10 - Apr 12 2015,LMS,2015 LMS Spring Playoffs,http://lol.esportspedia.com/wiki/LMS/2015_Season/Spring_Playoffs
Apr 11 - Apr 12 2015,NA,2015 Turkish PL Winter Playoffs,http://lol.esportspedia.com/wiki/2015_Turkish_Promotion_League/Winter_Playoffs
Feb 14 - Apr 12 2015,SLTV StarSeries,SLTV StarSeries Spring 2015,http://lol.esportspedia.com/wiki/SLTV_StarSeries/Spring_Split_2015
Jan 16 - Apr 12 2015,Tencent LoL Pro League,2015 LPL Spring,http://lol.esportspedia.com/wiki/2015_LPL_Spring/Regular_Season
Dec 10 - Apr 12 2015,Garena Premier League,2015 GPL Spring,http://lol.esportspedia.com/wiki/2015_GPL_Spring
Apr 11 2015,Copa Latin America,LAC OC 2015 Grand Final,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/Opening_Cup/Grand_Final
Jan 7 - Apr 11 2015,LoL The Champions,Champions Spring 2015,http://lol.esportspedia.com/wiki/SBENU_Champions_Spring_2015
Mar 9 - Apr 10 2015,League One,League One Powered by D!ngIt,http://lol.esportspedia.com/wiki/League_One_Powered_by_D!ngIt
Mar 25 - Apr 9 2015,LoL Secondary Pro League,2015 LSPL Spring Playoffs,http://lol.esportspedia.com/wiki/2015_LoL_Secondary_Pro_League/Spring_Playoffs
Apr 1 - Apr 9 2015,Oceanic Pro League,2015 OPL Split 1 Finals,http://lol.esportspedia.com/wiki/OPL/2015_Season/Split_1_Playoffs
Mar 31 - Apr 8 2015,NA Challenger Series,2015 NA CS Spring Playoffs,http://lol.esportspedia.com/wiki/2015_NA_Challenger_Series/Spring_Playoffs
Mar 31 - Apr 8 2015,EU Challenger Series,2015 EU CS Spring Playoffs,http://lol.esportspedia.com/wiki/2015_EU_Challenger_Series/Spring_Playoffs
Mar 16 - Apr 8 2015,NA,2015 Turkish PL Winter Season,http://lol.esportspedia.com/wiki/2015_Turkish_Promotion_League/Winter_Season
Nov 15 - Apr 6 2015,Vietnam Championship Series,2015 VCS A Spring,http://lol.esportspedia.com/wiki/2015_Vietnam_Championship_Series_A_Spring
Apr 4 - Apr 6 2015,NA,Gamers Assembly 2015,http://lol.esportspedia.com/wiki/Gamers_Assembly_2015
Apr 3 - Apr 5 2015,NA,Insomnia54 Spring 2015,http://lol.esportspedia.com/wiki/Insomnia54_Spring_2015
Apr 1 - Apr 5 2015,Copenhagen Games,Copenhagen Games 2015,http://lol.esportspedia.com/wiki/Copenhagen_Games_2015
Mar 21 - Apr 4 2015,Turkish Champions League,2015 TCL Winter Playoffs,http://lol.esportspedia.com/wiki/2015_Turkish_Champions_League/Winter_Playoffs
Apr 4 2015,League of Legends Japan League,2015 LJ League S2 Survival,http://lol.esportspedia.com/wiki/2015_League_of_Legends_Japan_League/Season_2/Survival_Match
Mar 31 - Apr 8 2015,NA Challenger Series,2015 NA CS Spring Playoffs,http://lol.esportspedia.com/wiki/2015_NA_Challenger_Series/Spring_Playoffs
Mar 24 - Apr 2 2015,Copa Latin America,LAC OC 2015 LAN Finals,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAN/Opening_Cup/Playoffs
